service_id,date,exception_type
341510,20260108,1
33610,20260109,1
34110,20260109,1
65010,20260109,1
336010,20260109,1
341510,20260109,1
33610,20260112,1
34010,20260112,1
65110,20260112,1
336110,20260112,1
341510,20260112,1
33610,20260113,1
34010,20260113,1
65110,20260113,1
336010,20260113,1
341610,20260113,1
33710,20260114,1
34010,20260114,1
65010,20260114,1
336010,20260114,1
341510,20260114,1
33610,20260115,1
34010,20260115,1
65110,20260115,1
336010,20260115,1
341510,20260115,1
33610,20260116,1
34110,20260116,1
65010,20260116,1
336010,20260116,1
341510,20260116,1
34011,20260119,1
336111,20260119,1
11,20260119,1
10,20260119,2
33610,20260120,1
34010,20260120,1
65110,20260120,1
336010,20260120,1
341610,20260120,1
33710,20260121,1
34010,20260121,1
65010,20260121,1
336010,20260121,1
341510,20260121,1
33610,20260122,1
34010,20260122,1
65110,20260122,1
336010,20260122,1
341510,20260122,1
33610,20260123,1
34110,20260123,1
65010,20260123,1
336010,20260123,1
341510,20260123,1
33610,20260126,1
34010,20260126,1
65110,20260126,1
336110,20260126,1
341510,20260126,1
33610,20260127,1
34010,20260127,1
65110,20260127,1
336010,20260127,1
341610,20260127,1
33710,20260128,1
34010,20260128,1
65010,20260128,1
336010,20260128,1
341510,20260128,1
33610,20260129,1
34010,20260129,1
65110,20260129,1
336010,20260129,1
341510,20260129,1
33610,20260130,1
34110,20260130,1
65010,20260130,1
336010,20260130,1
341510,20260130,1
33610,20260202,1
34010,20260202,1
65110,20260202,1
336110,20260202,1
341510,20260202,1
33610,20260203,1
34010,20260203,1
65110,20260203,1
336010,20260203,1
341610,20260203,1
33710,20260204,1
34010,20260204,1
65010,20260204,1
336010,20260204,1
341510,20260204,1
33610,20260205,1
34010,20260205,1
65110,20260205,1
336010,20260205,1
341510,20260205,1
33610,20260206,1
34110,20260206,1
65010,20260206,1
336010,20260206,1
341510,20260206,1
33610,20260209,1
34010,20260209,1
65110,20260209,1
336110,20260209,1
341510,20260209,1
33610,20260210,1
34010,20260210,1
65110,20260210,1
336010,20260210,1
341610,20260210,1
33710,20260211,1
34010,20260211,1
65010,20260211,1
336010,20260211,1
341510,20260211,1
33610,20260212,1
34010,20260212,1
65110,20260212,1
336010,20260212,1
341510,20260212,1
33610,20260213,1
34110,20260213,1
65010,20260213,1
336010,20260213,1
341510,20260213,1
34011,20260216,1
336111,20260216,1
11,20260216,1
10,20260216,2
33610,20260217,1
34010,20260217,1
65110,20260217,1
336010,20260217,1
341610,20260217,1
33710,20260218,1
34010,20260218,1
65010,20260218,1
336010,20260218,1
341510,20260218,1
33610,20260219,1
34010,20260219,1
65110,20260219,1
336010,20260219,1
341510,20260219,1
33610,20260220,1
34110,20260220,1
65010,20260220,1
336010,20260220,1
341510,20260220,1
69,20251127,1
16,20251127,2
19,20251225,1
16,20251225,2
68,20260101,1
16,20260101,2
26,20251127,1
22,20251127,2
26,20251225,1
22,20251225,2
26,20260101,1
22,20260101,2
31,20251127,1
28,20251127,2
31,20251225,1
28,20251225,2
31,20260101,1
28,20260101,2
340640,20251117,1
340540,20251118,1
340540,20251119,1
340540,20251120,1
340540,20251121,1
340640,20251124,1
340540,20251125,1
340540,20251126,1
43,20251127,1
40,20251127,2
340540,20251128,1
340640,20251201,1
340540,20251202,1
340540,20251203,1
340540,20251204,1
340540,20251205,1
340640,20251208,1
340540,20251209,1
340540,20251210,1
340540,20251211,1
340540,20251212,1
340640,20251215,1
340540,20251216,1
340540,20251217,1
340540,20251218,1
340540,20251219,1
340640,20251222,1
340540,20251223,1
340540,20251224,1
43,20251225,1
40,20251225,2
340540,20251226,1
340640,20251229,1
340540,20251230,1
340540,20251231,1
43,20260101,1
40,20260101,2
340540,20260102,1
340640,20260105,1
340540,20260106,1
340540,20260107,1
340540,20260108,1
340540,20260109,1
340640,20260112,1
340540,20260113,1
340540,20260114,1
340540,20260115,1
340540,20260116,1
340640,20260119,1
340540,20260120,1
340540,20260121,1
340540,20260122,1
340540,20260123,1
340640,20260126,1
340540,20260127,1
340540,20260128,1
340540,20260129,1
340540,20260130,1
340640,20260202,1
340540,20260203,1
340540,20260204,1
340540,20260205,1
340540,20260206,1
340640,20260209,1
340540,20260210,1
340540,20260211,1
340540,20260212,1
340540,20260213,1
340640,20260216,1
340540,20260217,1
340540,20260218,1
340540,20260219,1
340540,20260220,1
308749,20251116,1
308746,20251117,1
341046,20251117,1
308746,20251118,1
340946,20251118,1
308846,20251119,1
340946,20251119,1
308846,20251120,1
340946,20251120,1
308846,20251121,1
340946,20251121,1
308749,20251123,1
308746,20251124,1
341046,20251124,1
308746,20251125,1
340946,20251125,1
308846,20251126,1
340946,20251126,1
308849,20251127,1
49,20251127,1
46,20251127,2
308846,20251128,1
340946,20251128,1
308749,20251130,1
308746,20251201,1
341046,20251201,1
308746,20251202,1
340946,20251202,1
308846,20251203,1
340946,20251203,1
308846,20251204,1
340946,20251204,1
308846,20251205,1
340946,20251205,1
308749,20251207,1
308746,20251208,1
341046,20251208,1
308746,20251209,1
340946,20251209,1
308846,20251210,1
340946,20251210,1
308846,20251211,1
340946,20251211,1
308846,20251212,1
340946,20251212,1
308749,20251214,1
308746,20251215,1
341046,20251215,1
308746,20251216,1
340946,20251216,1
308846,20251217,1
340946,20251217,1
308846,20251218,1
340946,20251218,1
308846,20251219,1
340946,20251219,1
308749,20251221,1
308746,20251222,1
341046,20251222,1
308746,20251223,1
340946,20251223,1
308846,20251224,1
340946,20251224,1
308849,20251225,1
49,20251225,1
46,20251225,2
308846,20251226,1
340946,20251226,1
308849,20251228,1
308846,20251229,1
340946,20251229,1
308846,20251230,1
340946,20251230,1
308846,20251231,1
340946,20251231,1
308849,20260101,1
49,20260101,1
46,20260101,2
308846,20260102,1
340946,20260102,1
308749,20260104,1
308746,20260105,1
341046,20260105,1
308746,20260106,1
340946,20260106,1
308846,20260107,1
340946,20260107,1
308846,20260108,1
340946,20260108,1
308846,20260109,1
340946,20260109,1
308749,20260111,1
