X,Y,FID,Mode,Route,Direction,Stop_Code,Stop,Lat,Lon,Sign_Up,Weekday_On,Weekday_Of,Saturday_O,Saturday_1,Sunday_Ons,Sunday_Off
-8392489.28886856,4856517.26244994,17041,Bus,118,Northbound,2167,Providence Rd & Kirk Ln,39.935111,-75.391014,Spring 2025,3,6,0,1,0,0
-8382006.33242056,4861457.49399298,17042,Bus,123,Westbound,2197,West Chester Pk & Darby Rd,39.969131,-75.296844,Spring 2025,1,0,0,1,0,2
-8392773.71016753,4861256.90351714,17043,Bus,118,Northbound,2168,Delaware County Community College,39.96775,-75.393569,Spring 2025,0,24,0,2,0,0
-8386173.80019738,4862600.69014006,17044,Bus,123,Westbound,2199,West Chester Pk & Lawrence Rd,39.977001,-75.334281,Spring 2025,2,3,2,3,1,5
-8391910.8727944,4853795.08597942,17045,Bus,118,Northbound,4599,Baltimore Pike & Edgmont St,39.916358,-75.385818,Spring 2025,0,2,0,2,0,0
-8392120.59871505,4878684.76092287,17046,Bus,123,Westbound,14953,Mall Blvd & Court Blvd,40.087631,-75.387702,Spring 2025,0,65,1,87,1,52
-8393569.53320722,4864113.6300982,17047,Bus,118,Northbound,15232,Chapel Rd & Newtown Street Rd - FS,39.987415,-75.400718,Spring 2025,0,7,0,8,0,0
-8392275.22148776,4879065.55267971,17048,Bus,123,Westbound,14978,Mall Blvd & Wills Blvd - MBFS,40.090248,-75.389091,Spring 2025,0,0,0,1,0,0
-8389077.56911473,4844270.07045844,17049,Bus,118,Northbound,19959,Welsh St & 7th St,39.8507,-75.360366,Spring 2025,8,0,1,0,0,0
-8378259.20704096,4860511.66042298,17050,Bus,123,Westbound,18639,West Chester Pk & Brief Av,39.962619,-75.263183,Spring 2025,20,0,30,1,24,0
-8389104.73107048,4844617.93327015,17051,Bus,118,Northbound,19960,Edgmont Av & 9th St - FS,39.853099,-75.36061,Spring 2025,3,0,2,0,0,0
-8378541.17931114,4860609.696419,17052,Bus,123,Westbound,18640,West Chester Pk & College Av,39.963294,-75.265716,Spring 2025,6,0,6,0,6,0
-8389117.53281192,4844870.24654318,17053,Bus,118,Northbound,19962,Edgmont Av & 11th St,39.854839,-75.360725,Spring 2025,4,0,2,0,0,0
-8378773.05781047,4860665.75891986,17054,Bus,123,Westbound,18641,West Chester Pk & Golf Rd,39.96368,-75.267799,Spring 2025,10,0,15,0,7,0
-8389148.92490833,4845122.42119968,17055,Bus,118,Northbound,19963,Edgmont Av & 12th St,39.856578,-75.361007,Spring 2025,9,1,1,0,0,0
-8379087.31273297,4860741.13879167,17056,Bus,123,Westbound,18642,West Chester Pk & Ardsley Rd - FS,39.964199,-75.270622,Spring 2025,12,0,15,1,12,0
-8389300.09677682,4846855.76920285,17057,Bus,118,Northbound,19973,Providence Av & Chestnut St,39.86853,-75.362365,Spring 2025,4,2,2,0,0,0
-8379226.57341596,4860775.41576272,17058,Bus,123,Westbound,18643,West Chester Pk & Kenmore Rd,39.964435,-75.271873,Spring 2025,0,0,0,1,1,0
-8392130.8401082,4853835.58002199,17059,Bus,118,Northbound,20073,Baltimore Pk & Monroe St,39.916637,-75.387794,Spring 2025,3,13,0,7,0,0
-8379522.12666401,4860846.87491332,17060,Bus,123,Westbound,18644,West Chester Pk & Pennock Av - FS,39.964927,-75.274528,Spring 2025,8,4,9,5,4,3
-8392330.4359552,4853875.92908871,17061,Bus,118,Northbound,20074,Baltimore Pike & Jackson St,39.916915,-75.389587,Spring 2025,4,7,1,3,0,0
-8380438.50871222,4861069.09872884,17062,Bus,123,Westbound,18646,West Chester Pk & S Lynn Blvd - MBFS,39.966457,-75.28276,Spring 2025,2,1,2,1,1,1
-8389204.13937576,4845359.81054186,17063,Bus,118,Northbound,25619,Edgmont Av & 14th St,39.858215,-75.361503,Spring 2025,0,3,0,1,0,0
-8380655.13644131,4861121.09691479,17064,Bus,123,Westbound,18647,West Chester Pk & Cloverdale Rd,39.966815,-75.284706,Spring 2025,1,1,2,0,3,0
-8389274.60461343,4845551.23429425,17065,Bus,118,Northbound,26009,Edgmont Av & 15th St,39.859535,-75.362136,Spring 2025,9,4,3,2,0,0
-8381123.01226111,4861237.58545932,17066,Bus,123,Westbound,18648,West Chester Pk & Linden Av,39.967617,-75.288909,Spring 2025,6,3,1,7,4,3
-8389370.56201449,4845749.76781807,17067,Bus,118,Northbound,26011,Edgmont Av & 17th St,39.860904,-75.362998,Spring 2025,0,1,0,0,0,0
-8381388.84320513,4861303.38320877,17068,Bus,123,Westbound,18649,West Chester Pk & Brighton Av - FS,39.96807,-75.291297,Spring 2025,2,2,0,2,2,4
-8389634.72316615,4846028.06946895,17069,Bus,118,Northbound,26013,Edgmont Av & 20th St,39.862823,-75.365371,Spring 2025,1,3,2,1,0,0
-8381764.32384757,4861398.81250757,17070,Bus,123,Westbound,18650,West Chester Pk & Township Line Rd - FS,39.968727,-75.29467,Spring 2025,1,2,1,5,0,1
-8389802.03636081,4846124.94753427,17071,Bus,118,Northbound,26014,Edgmont Av & 21st St,39.863491,-75.366874,Spring 2025,1,2,3,1,0,0
-8380030.85673694,4860967.13659604,17072,Bus,123,Westbound,18651,West Chester Pk & Saint Laurence Rd,39.965755,-75.279098,Spring 2025,7,7,8,3,3,7
-8389766.41412375,4846298.54726513,17073,Bus,118,Northbound,26016,22nd St & Madison St,39.864688,-75.366554,Spring 2025,1,4,4,1,0,0
-8382292.53483139,4861528.95805248,17074,Bus,123,Westbound,18652,West Chester Pk & Vernon Rd - MBNS,39.969623,-75.299415,Spring 2025,4,6,8,3,2,2
-8389607.56121039,4846398.18356632,17075,Bus,118,Northbound,26017,22nd St & Upland St,39.865375,-75.365127,Spring 2025,3,2,0,1,0,0
-8382660.33442897,4861625.40629791,17076,Bus,123,Westbound,18653,West Chester Pk & Gilmore Rd - FS,39.970287,-75.302719,Spring 2025,0,0,0,1,1,1
-8389453.82899361,4846492.30960573,17077,Bus,118,Northbound,26018,22nd St & Potter St,39.866024,-75.363746,Spring 2025,0,0,0,0,0,0
-8383004.31165552,4861705.15111202,17078,Bus,123,Westbound,18654,West Chester Pk & Westwood Ln - FS,39.970836,-75.305809,Spring 2025,0,1,0,0,0,0
-8389300.09677682,4846582.95570871,17079,Bus,118,Northbound,26019,22nd St & Providence Av,39.866649,-75.362365,Spring 2025,11,3,5,0,0,0
-8383444.24628313,4861801.60106903,17080,Bus,123,Westbound,18655,West Chester Pk & Sycamore Rd,39.9715,-75.309761,Spring 2025,0,2,1,2,0,1
-8389369.78277806,4846980.21293002,17081,Bus,118,Northbound,26020,Chestnut St & 24th St,39.869388,-75.362991,Spring 2025,1,0,0,1,0,0
-8383863.69812444,4861898.05196301,17082,Bus,123,Westbound,18656,West Chester Pk & Manoa Rd - FS,39.972164,-75.313529,Spring 2025,0,0,1,0,0,2
-8389551.56750653,4847252.45714021,17083,Bus,118,Northbound,26021,Chestnut St & 24th St - MBFS,39.871265,-75.364624,Spring 2025,0,1,0,1,0,0
-8384354.61707884,4862006.56033874,17084,Bus,123,Westbound,18657,West Chester Pk & Washington Av - FS,39.972911,-75.317939,Spring 2025,1,6,0,8,0,6
-8389886.19389585,4847535.73246588,17085,Bus,118,Northbound,26022,Chestnut Pkwy & Harvey Rd,39.873218,-75.36763,Spring 2025,0,0,0,0,0,0
-8384837.85498837,4862119.13721628,17086,Bus,123,Westbound,18659,West Chester Pk & Glendale Rd - FS,39.973686,-75.32228,Spring 2025,2,2,4,1,1,0
-8390127.31191291,4847665.26145406,17087,Bus,118,Northbound,26023,Chestnut Pkwy & Blakeley Rd,39.874111,-75.369796,Spring 2025,0,0,0,0,0,0
-8385207.32437832,4862201.64598362,17088,Bus,123,Westbound,18660,West Chester Pk & Stanton Rd,39.974254,-75.325599,Spring 2025,0,0,0,0,1,0
-8390329.46810819,4847762.59061645,17089,Bus,118,Northbound,26024,Chestnut Pkwy & Ryanard Rd,39.874782,-75.371612,Spring 2025,0,0,0,0,0,0
-8385368.73763997,4862244.93430834,17090,Bus,123,Westbound,18661,West Chester Pk & Glen Gary Dr,39.974552,-75.327049,Spring 2025,2,1,2,0,0,0
-8390511.25283665,4847841.78911741,17091,Bus,118,Northbound,26025,Chestnut Pkwy & Media Pkwy,39.875328,-75.373245,Spring 2025,2,0,1,0,0,0
-8385766.1482221,4862433.34240339,17092,Bus,123,Westbound,18662,West Chester Pk & Robinson Av,39.975849,-75.330619,Spring 2025,0,0,0,1,0,0
-8391723.18813292,4848009.32648547,17093,Bus,118,Northbound,26028,Waterville Rd & Brookhaven Rd,39.876483,-75.384132,Spring 2025,0,0,1,1,0,0
-8385907.19001693,4862505.8303562,17094,Bus,123,Westbound,18663,West Chester Pk & Old W Chester Pk,39.976348,-75.331886,Spring 2025,0,1,0,2,0,5
-8391658.62282826,4848203.55732083,17095,Bus,118,Northbound,26029,Brookhaven Rd & Putnam Blvd - FS,39.877822,-75.383552,Spring 2025,2,1,0,0,0,0
-8392450.99496373,4879150.96728506,17096,Bus,123,Westbound,29607,Mall Blvd & Ballys,40.090835,-75.39067,Spring 2025,1,12,0,11,0,12
-8391420.84439593,4849064.07890389,17097,Bus,118,Northbound,26031,Brookhaven Rd & Moore Rd,39.883754,-75.381416,Spring 2025,1,0,0,1,0,0
-8372031.32680904,4868107.16179792,17098,Bus,124,Eastbound,28,Wissahickon Transit Center,40.014896,-75.207237,Spring 2025,35,170,27,149,32,90
-8391256.09154955,4849453.74617128,17099,Bus,118,Northbound,26033,Brookhaven Rd & Garnet Ln,39.88644,-75.379936,Spring 2025,0,0,1,0,0,0
-8369354.31569445,4859491.27209445,17100,Bus,124,Eastbound,1537,30th St & Market St - MBNS,39.955593,-75.183189,Spring 2025,4,104,7,101,1,63
-8391233.15973445,4849656.27472662,17101,Bus,118,Northbound,26034,Brookhaven Rd & Todmorden Dr - FS,39.887836,-75.37973,Spring 2025,0,0,0,0,0,0
-8387036.74889001,4876317.10889122,17102,Bus,124,Eastbound,1641,Gulph Mills Station - on street,40.071357,-75.342033,Spring 2025,27,54,18,30,8,18
-8390902.76348577,4850708.44502191,17103,Bus,118,Northbound,26038,Brookhaven Rd & Engle Dr,39.895088,-75.376762,Spring 2025,0,0,0,0,0,0
-8366915.08301219,4859066.93992215,17104,Bus,124,Eastbound,1721,13th St & Market St - MBFS,39.952671,-75.161277,Spring 2025,0,66,0,58,0,38
-8390485.76067326,4851275.20063608,17105,Bus,118,Northbound,26040,Brookhaven Rd & Providence Rd,39.898994,-75.373016,Spring 2025,0,2,0,1,0,0
-8401017.02978027,4876033.59307347,17106,Bus,124,Eastbound,1725,Morris Dr & Liberty Ridge Dr - MBFS,40.069408,-75.46762,Spring 2025,12,0,5,0,3,0
-8390685.35652025,4851937.76236291,17107,Bus,118,Northbound,26068,Providence Rd & Possum Hollow Rd,39.90356,-75.374809,Spring 2025,2,1,0,0,0,0
-8392721.94660432,4879004.43876341,17108,Bus,124,Eastbound,1827,Plaza at King of Prussia,40.089828,-75.393104,Spring 2025,168,25,196,16,95,13
-8390789.77420262,4852130.47366769,17109,Bus,118,Northbound,26069,Wallingford Av & Providence Rd - FS,39.904888,-75.375747,Spring 2025,2,1,1,3,0,0
-8367222.54744576,4858795.96931321,17110,Bus,124,Eastbound,6115,Chestnut St & Broad St,39.950805,-75.164039,Spring 2025,17,20,17,21,7,14
-8391259.43113427,4852511.26361381,17111,Bus,118,Northbound,26071,Wallingford Av & Highland Av - FS,39.907512,-75.379966,Spring 2025,0,0,0,0,0,0
-8391838.62644487,4878555.9905614,17112,Bus,124,Eastbound,6698,DeKalb Pk & Wilson Rd,40.086746,-75.385169,Spring 2025,0,1,0,0,0,0
-8391430.19523315,4852603.70605617,17113,Bus,118,Northbound,26072,Wallingford Av & Dennis La - FS,39.908149,-75.3815,Spring 2025,0,0,0,0,0,0
-8389553.23729889,4879616.17696887,17114,Bus,124,Eastbound,6707,DeKalb Pk & Henderson Rd - MBNS,40.094032,-75.364639,Spring 2025,27,11,18,6,10,5
-8391996.7001218,4852882.1995513,17115,Bus,118,Northbound,26076,Wallingford Av & Manchester Av,39.910068,-75.386589,Spring 2025,0,0,0,0,0,0
-8390008.42269674,4879429.04276413,17116,Bus,124,Eastbound,6712,DeKalb Pk & Town Center Rd - MBNS,40.092746,-75.368728,Spring 2025,10,5,6,3,8,2
-8391828.49637121,4853248.65024742,17117,Bus,118,Northbound,26078,Manchester Av & Emerald St,39.912593,-75.385078,Spring 2025,0,0,0,0,0,0
-8395669.01880358,4877191.70956803,17118,Bus,124,Eastbound,7733,Swedesford Rd & Wembley Dr - FS,40.077369,-75.419578,Spring 2025,10,1,2,0,0,0
-8392294.70239865,4854083.04720008,17119,Bus,118,Northbound,26083,Jackson St & Jasper St,39.918342,-75.389266,Spring 2025,6,16,4,4,0,0
-8388854.2622162,4878827.93807002,17120,Bus,124,Eastbound,8505,Henderson Rd & Saulin Blvd - MBFS,40.088615,-75.35836,Spring 2025,10,0,4,0,3,0
-8392235.25779057,4854399.17552561,17121,Bus,118,Northbound,26085,Jackson St & 3rd St,39.92052,-75.388732,Spring 2025,2,4,1,1,0,0
-8388632.62511003,4877701.2015066,17122,Bus,124,Eastbound,8510,Henderson Rd & Shoemaker Rd - FS,40.080871,-75.356369,Spring 2025,11,10,12,6,10,2
-8392186.94513156,4854678.88055007,17123,Bus,118,Northbound,26087,Jackson St & 5th St,39.922447,-75.388298,Spring 2025,0,1,0,0,0,0
-8367382.17959555,4859049.07828787,17124,Bus,124,Eastbound,10266,Market St & 15th St,39.952548,-75.165473,Spring 2025,2,66,0,62,3,43
-8391952.50628395,4854816.19580923,17125,Bus,118,Northbound,26089,Monroe St & 6th St - FS,39.923393,-75.386192,Spring 2025,1,0,0,0,0,0
-8367905.38120228,4859132.28763836,17126,Bus,124,Eastbound,10272,Market St & 18th St,39.953121,-75.170173,Spring 2025,5,18,3,10,2,7
-8391909.20300204,4855302.91094571,17127,Bus,118,Northbound,26090,Providence Rd & Jackson St - FS,39.926746,-75.385803,Spring 2025,2,5,0,3,0,0
-8368077.81509352,4859161.0407697,17128,Bus,124,Eastbound,10275,Market St & 19th St,39.953319,-75.171722,Spring 2025,2,18,0,10,1,6
